token,pos
JAPANESE,ADJ
OFFICIAL,NOUN
TAKES,VERB
DATA,NOUN
TO,ADP
MICROCHIP,NOUN
TALKS,NOUN
"
  ",SPACE
Ministry,PROPN
of,ADP
International,PROPN
Trade,PROPN
and,CCONJ
"
  ",SPACE
Industry,NOUN
(,PUNCT
MITI,PROPN
),PUNCT
Vice,PROPN
Minister,PROPN
Makoto,PROPN
Kuroda,PROPN
leaves,VERB
for,ADP
"
  ",SPACE
Washington,PROPN
today,NOUN
with,ADP
data,NOUN
he,PRON
hopes,VERB
will,AUX
refute,VERB
U.S.,PROPN
Charges,NOUN
"
  ",SPACE
Japan,PROPN
has,AUX
violated,VERB
a,DET
pact,NOUN
on,ADP
microchip,NOUN
trade,NOUN
.,PUNCT
"
      ",SPACE
A,DET
three,NUM
-,PUNCT
man,NOUN
Japanese,ADJ
trade,NOUN
team,NOUN
is,AUX
already,ADV
in,ADP
Washington,PROPN
"
  ",SPACE
laying,VERB
the,DET
groundwork,NOUN
for,ADP
talks,NOUN
between,ADP
Kuroda,PROPN
and,CCONJ
Deputy,PROPN
U.S.,PROPN
"
  ",SPACE
Trade,PROPN
Representative,PROPN
Michael,PROPN
Smith,PROPN
aimed,VERB
at,ADP
persuading,VERB
the,DET
U.S.,PROPN
"
  ",SPACE
Not,PART
to,PART
impose,VERB
tariffs,NOUN
on,ADP
certain,ADJ
Japanese,ADJ
products,NOUN
.,PUNCT
"
      ",SPACE
But,CCONJ
Kuroda,PROPN
said,VERB
he,PRON
is,AUX
taking,VERB
no,DET
new,ADJ
proposals,NOUN
.,PUNCT
"""",PUNCT
I,PRON
have,VERB
"
  ",SPACE
nothing,PRON
in,ADP
my,PRON
briefcase,NOUN
except,SCONJ
an,DET
explanation,NOUN
of,ADP
the,DET
current,ADJ
"
  ",SPACE
situation,NOUN
",",PUNCT
"""",PUNCT
Kuroda,PROPN
told,VERB
the,DET
daily,ADJ
newspaper,NOUN
Asahi,PROPN
Shimbun,PROPN
.,PUNCT
"
      ",SPACE
Kuroda,PROPN
said,VERB
the,DET
U.S.,PROPN
Decision,PROPN
was,AUX
based,VERB
on,ADP
incorrect,ADJ
data,NOUN
"
  ",SPACE
and,CCONJ
an,DET
exaggerated,ADJ
sense,NOUN
of,ADP
MITI,PROPN
's,PART
power,NOUN
to,PART
control,VERB
market,NOUN
"
  ",SPACE
forces,NOUN
.,PUNCT
"""",PUNCT
The,DET
U.S.,PROPN
Has,VERB
excessive,ADJ
expectations,NOUN
.,PUNCT
To,PART
stabilise,VERB
"
  ",SPACE
supply,NOUN
-,PUNCT
demand,NOUN
relations,NOUN
which,PRON
have,AUX
been,AUX
disrupted,VERB
by,ADP
excess,ADJ
"
  ",SPACE
inventories,NOUN
since,SCONJ
1985,NUM
will,AUX
take,VERB
some,DET
time,NOUN
",",PUNCT
"""",PUNCT
he,PRON
said,VERB
.,PUNCT
"
      ",SPACE
Kuroda,PROPN
also,ADV
laid,VERB
part,NOUN
of,ADP
the,DET
blame,NOUN
for,ADP
low,ADJ
U.S.,PROPN
Chip,NOUN
sales,NOUN
"
  ",SPACE
in,ADP
Japan,PROPN
on,ADP
a,DET
lack,NOUN
of,ADP
effort,NOUN
by,ADP
American,ADJ
firms,NOUN
here,ADV
.,PUNCT
"
      ",SPACE
He,PRON
said,VERB
if,SCONJ
he,PRON
fails,VERB
in,ADP
talks,NOUN
tomorrow,NOUN
and,CCONJ
Friday,PROPN
to,PART
"
  ",SPACE
forestall,NOUN
sanctions,NOUN
",",PUNCT
he,PRON
will,AUX
seek,VERB
further,ADJ
talks,NOUN
with,ADP
U.S.,PROPN
Trade,PROPN
"
  ",SPACE
Representative,PROPN
Clayton,PROPN
Yeutter,PROPN
.,PUNCT
U.S.,PROPN
Officials,NOUN
said,VERB
this,DET
week,NOUN
's,PART
"
  ",SPACE
talks,NOUN
are,AUX
unlikely,ADJ
to,PART
delay,VERB
imposition,NOUN
of,ADP
tariffs,NOUN
.,PUNCT
"
  

",SPACE
JAPAN,PROPN
MINISTRY,PROPN
SAYS,VERB
OPEN,PROPN
FARM,NOUN
TRADE,NOUN
WOULD,AUX
HIT,VERB
U.S.,PROPN
"
  ",SPACE
Japan,PROPN
's,PART
Agriculture,PROPN
Ministry,PROPN
",",PUNCT
angered,VERB
by,ADP
"
  ",SPACE
U.S.,PROPN
Demands,PROPN
that,SCONJ
Japan,PROPN
open,VERB
its,PRON
farm,NOUN
products,NOUN
market,NOUN
",",PUNCT
will,AUX
"
  ",SPACE
tell,VERB
U.S.,PROPN
Officials,NOUN
at,ADP
talks,NOUN
later,ADV
this,DET
month,NOUN
that,SCONJ
"
  ",SPACE
liberalisation,NOUN
would,AUX
harm,VERB
existing,VERB
U.S.,PROPN
Farm,PROPN
exports,NOUN
to,ADP
Japan,PROPN
",",PUNCT
"
  ",SPACE
a,DET
senior,ADJ
ministry,NOUN
official,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
"""",PUNCT
Imports,NOUN
from,ADP
